"id","firstName","lastName","phone","city","gender","age","prevCalls","totalTime","product","period","topic"
"867258558","Darryl","Gutmann","808.342.2707","Nahariya","Male",21,18,9.574,"internet","Holidays","join"
"867258558","Darryl","Gutmann","808.342.2707","Nahariya","Male",21,18,9.574,"internet","Holidays","join"
"867258558","Darryl","Gutmann","808.342.2707","Nahariya","Male",21,18,9.574,"internet","Holidays","join"
"250186658","Meda","Harris","610.598.9778","Haifa","Female",54,45,10.152,"internet","Holidays","join"
"250186658","Meda","Harris","610.598.9778","Haifa","Female",54,45,10.152,"internet","Holidays","join"
"250186658","Meda","Harris","610.598.9778","Haifa","Female",54,45,10.152,"internet","Holidays","join"
"919318914","Tre","Keebler","1-975-618-8952","Jerusalem","Female",29,30,21.564,"internet","Holidays","service"
"919318914","Tre","Keebler","1-975-618-8952","Jerusalem","Female",29,30,21.564,"internet","Holidays","service"
"919318914","Tre","Keebler","1-975-618-8952","Jerusalem","Female",29,30,21.564,"internet","Holidays","service"
"862173985","Nora","Conroy","507-539-3999","Tel-Aviv","Female",93,2,42.722,"internet","Holidays","service"
"862173985","Nora","Conroy","507-539-3999","Tel-Aviv","Female",93,2,42.722,"internet","Holidays","service"
"862173985","Nora","Conroy","507-539-3999","Tel-Aviv","Female",93,2,42.722,"internet","Holidays","service"
"102742416","Suzanne","Raynor","294.296.2784","Beer-Sheva","Female",33,30,29.048,"internet","Holidays","complaint"
"102742416","Suzanne","Raynor","294.296.2784","Beer-Sheva","Female",33,30,29.048,"internet","Holidays","complaint"
"102742416","Suzanne","Raynor","294.296.2784","Beer-Sheva","Female",33,30,29.048,"internet","Holidays","complaint"
"13201559","Abigayle","Hamill","856.710.5450","Beer-Sheva","Male",62,47,33.282,"internet","Holidays","leave"
"13201559","Abigayle","Hamill","856.710.5450","Beer-Sheva","Male",62,47,33.282,"internet","Holidays","leave"
"13201559","Abigayle","Hamill","856.710.5450","Beer-Sheva","Male",62,47,33.282,"internet","Holidays","leave"
"452759140","Maynard","Hansen","(504)","Ashkelon","Female",104,19,43.64,"internet","Holidays","join"
"452759140","Maynard","Hansen","(504)","Ashkelon","Female",104,19,43.64,"internet","Holidays","join"
"452759140","Maynard","Hansen","(504)","Ashkelon","Female",104,19,43.64,"internet","Holidays","join"
"272350137","Carmel","Bauch","(982)","Ashdod","Male",49,29,44.108,"internet","Holidays","join"
"272350137","Carmel","Bauch","(982)","Ashdod","Male",49,29,44.108,"internet","Holidays","join"
"272350137","Carmel","Bauch","(982)","Ashdod","Male",49,29,44.108,"internet","Holidays","join"
"345322635","Aglae","Jacobson","(713)","Beer-Sheva","Female",46,10,44.824,"internet","Holidays","join"
"345322635","Aglae","Jacobson","(713)","Beer-Sheva","Female",46,10,44.824,"internet","Holidays","join"
"345322635","Aglae","Jacobson","(713)","Beer-Sheva","Female",46,10,44.824,"internet","Holidays","join"
"907780949","Burdette","Lockman","834-273-9909","Beer-Sheva","Female",96,6,46.204,"internet","Holidays","join"
"907780949","Burdette","Lockman","834-273-9909","Beer-Sheva","Female",96,6,46.204,"internet","Holidays","join"
"907780949","Burdette","Lockman","834-273-9909","Beer-Sheva","Female",96,6,46.204,"internet","Holidays","join"
